,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity,target
309,10.4,0.037,0.26,0.9928,6.2,36.0,3.21,6.0,4.8,0.41,148.0,0.31,1
310,11.5,0.035,0.27,0.9917,6.1,16.0,3.4,7.0,2.1,0.71,100.0,0.36,1
312,10.0,0.042,0.41,0.9954,7.8,37.0,3.36,6.0,3.7,0.45,149.0,0.25,1
313,10.0,0.038,0.21,0.9941,5.7,51.0,3.29,6.0,6.7,0.63,166.0,0.36,1
314,10.0,0.04,0.21,0.9941,5.8,50.0,3.29,5.0,6.6,0.62,167.0,0.34,1
316,10.6,0.031,0.34,0.9927,6.8,34.0,3.21,6.0,4.7,0.38,134.0,0.25,1
317,10.5,0.031,0.35,0.9938,6.6,36.0,3.19,5.0,7.7,0.37,135.0,0.24,1
318,11.5,0.03,0.47,0.9933,5.9,19.0,3.52,7.0,7.85,0.43,133.0,0.3,1
319,10.1,0.04,0.25,0.9934,6.1,10.0,3.54,6.0,3.3,0.59,69.0,0.125,1
320,10.3,0.041,0.24,0.9927,6.0,15.0,3.61,7.0,1.1,0.61,65.0,0.1,1
321,10.5,0.031,0.35,0.9938,6.6,36.0,3.19,5.0,7.7,0.37,135.0,0.24,1
322,10.6,0.031,0.34,0.9927,6.8,34.0,3.21,6.0,4.7,0.38,134.0,0.25,1
323,10.4,0.031,0.44,0.9946,6.8,35.0,3.16,6.0,9.3,0.36,137.0,0.28,1
324,11.4,0.046,0.51,0.993,8.3,11.0,3.02,5.0,2.0,0.55,207.0,0.41,1
326,10.0,0.04,0.41,0.9976,7.9,38.0,2.96,6.0,15.15,0.6,216.0,0.26,1
327,10.0,0.039,0.23,0.9944,6.4,37.0,3.19,6.0,6.3,0.65,143.0,0.34,1
328,9.6,0.042,0.35,0.9978,6.5,55.0,3.23,6.0,15.4,0.5,195.0,0.28,1
329,10.4,0.036,0.41,0.992,7.2,33.0,3.17,5.0,1.3,0.51,85.0,0.21,1
331,10.6,0.032,0.34,0.9927,6.8,37.0,3.2,5.0,4.6,0.39,135.0,0.24,1
332,11.8,0.033,0.3,0.9906,6.3,16.0,3.28,6.0,1.8,0.4,91.0,0.23,1
333,9.8,0.038,0.34,0.9954,6.5,30.0,3.11,5.0,9.9,0.44,133.0,0.28,1
334,10.8,0.031,0.26,0.9923,5.6,12.0,3.25,5.0,5.7,0.38,80.0,0.26,1
335,11.8,0.033,0.3,0.9906,6.3,16.0,3.28,6.0,1.8,0.4,91.0,0.23,1
336,11.2,0.036,0.33,0.991,6.3,15.0,3.32,6.0,1.5,0.42,105.0,0.23,1
337,9.3,0.045,0.27,0.9972,5.8,55.0,3.28,6.0,12.3,0.42,170.0,0.27,1
338,10.4,0.047,0.4,0.9945,5.9,12.0,3.45,5.0,1.3,0.53,139.0,0.26,1
339,10.2,0.049,0.35,0.9934,6.6,49.0,3.43,7.0,1.5,0.85,141.0,0.18,1
340,9.0,0.045,0.43,0.9964,7.4,27.0,3.19,7.0,7.8,0.55,153.0,0.2,1
341,10.0,0.047,0.36,0.9948,8.0,17.0,3.2,6.0,1.5,0.54,129.0,0.24,1
342,9.1,0.044,0.42,0.9962,6.4,30.0,3.18,6.0,9.7,0.47,140.0,0.26,1
343,10.0,0.053,0.47,0.9931,5.4,46.0,3.29,5.0,3.0,0.76,144.0,0.31,1
344,10.0,0.052,0.47,0.993,5.4,47.0,3.29,6.0,3.0,0.75,145.0,0.29,1
345,9.6,0.05,0.33,0.9942,7.1,33.0,3.28,6.0,4.6,0.4,131.0,0.145,1
346,11.2,0.031,0.1,0.9906,5.6,20.0,3.36,7.0,1.3,0.51,68.0,0.34,1
347,8.8,0.056,0.41,0.9995,6.7,75.0,3.2,6.0,15.6,0.44,155.0,0.19,1
348,10.0,0.052,0.46,0.998,7.8,38.0,3.15,6.0,13.6,0.5,118.0,0.18,1
349,10.0,0.054,0.45,0.997,7.6,56.0,3.15,5.0,11.2,0.47,137.0,0.17,1
350,11.4,0.044,0.36,0.9914,6.3,47.0,3.27,7.0,2.1,0.74,146.0,0.12,1
351,11.9,0.038,0.4,0.992,7.3,32.0,3.03,7.0,6.85,0.3,138.0,0.33,1
352,9.6,0.071,0.3,0.9924,5.5,27.0,3.14,6.0,2.5,0.51,128.0,0.335,1
353,11.9,0.038,0.4,0.992,7.3,32.0,3.03,7.0,6.85,0.3,138.0,0.33,1
354,9.6,0.047,0.42,0.9937,5.8,38.5,3.25,6.0,4.4,0.57,245.0,0.4,1
355,9.0,0.063,0.37,0.9978,7.3,48.0,2.89,6.0,14.3,0.38,191.0,0.22,1
356,9.0,0.063,0.37,0.9978,7.3,48.0,2.89,6.0,14.3,0.38,191.0,0.22,1
357,9.5,0.05,0.33,0.9927,6.1,24.0,3.15,6.0,1.1,0.78,169.0,0.36,1
359,10.6,0.04,0.34,0.9935,6.9,43.0,3.2,6.0,4.7,0.59,161.0,0.24,1
360,10.2,0.047,0.32,0.9968,6.4,54.0,3.28,6.0,14.9,0.5,162.0,0.24,1
361,8.9,0.055,0.14,0.9941,7.1,24.0,3.15,5.0,1.2,0.43,84.0,0.365,1
362,9.7,0.05,0.3,0.9942,6.8,40.0,3.4,6.0,5.3,0.39,127.0,0.15,1
363,9.0,0.063,0.37,0.9978,7.3,48.0,2.89,6.0,14.3,0.38,191.0,0.22,1
364,11.4,0.037,0.4,0.9923,6.8,18.0,3.49,7.0,2.3,0.42,102.0,0.16,1
365,12.3,0.028,0.32,0.9912,6.0,29.0,3.4,7.0,3.5,0.71,113.0,0.26,1
366,10.8,0.089,0.27,0.9923,6.0,40.0,3.49,6.0,1.5,0.62,143.0,0.18,1
367,9.4,0.053,0.21,0.9927,6.9,39.0,3.12,6.0,1.0,0.45,148.0,0.33,1
368,10.6,0.049,0.48,0.9931,7.7,36.0,3.17,6.0,2.3,0.64,178.0,0.29,1
369,11.6,0.044,0.35,0.9941,7.1,26.0,3.17,5.0,12.5,0.29,72.0,0.39,1
370,9.4,0.053,0.21,0.9927,6.9,39.0,3.12,6.0,1.0,0.45,148.0,0.33,1
371,10.6,0.049,0.48,0.9931,7.7,36.0,3.17,6.0,2.3,0.64,178.0,0.29,1
373,9.2,0.048,0.27,0.9936,7.2,30.0,3.1,6.0,2.4,0.51,149.0,0.27,1
374,12.5,0.027,0.22,0.9893,5.1,18.0,3.51,7.0,1.6,0.38,89.0,0.33,1
375,12.5,0.027,0.22,0.9893,5.1,18.0,3.51,7.0,1.6,0.38,89.0,0.33,1
376,10.4,0.037,0.28,0.9919,6.4,12.0,3.32,7.0,1.5,0.51,119.0,0.31,1
377,10.0,0.045,0.44,0.9924,7.3,21.0,3.15,7.0,1.4,0.46,98.0,0.2,1
378,10.0,0.049,0.5,0.9927,5.7,17.0,3.22,6.0,2.6,0.64,155.0,0.32,1
379,10.4,0.037,0.28,0.9919,6.4,12.0,3.32,7.0,1.5,0.51,119.0,0.31,1
380,10.0,0.045,0.44,0.9924,7.3,21.0,3.15,7.0,1.4,0.46,98.0,0.2,1
381,9.0,0.046,0.26,0.9975,7.2,48.0,3.1,6.0,12.5,0.52,179.0,0.28,1
382,9.2,0.051,0.28,0.9969,7.5,26.0,3.12,6.0,9.6,0.53,157.0,0.35,1
383,9.2,0.048,0.27,0.9936,7.2,30.0,3.1,6.0,2.4,0.51,149.0,0.27,1
384,11.3,0.027,0.39,0.991,6.0,20.0,3.38,7.0,3.2,0.39,125.0,0.36,1
385,12.5,0.027,0.22,0.9893,5.1,18.0,3.51,7.0,1.6,0.38,89.0,0.33,1
386,10.8,0.026,0.56,0.9906,5.0,24.0,3.48,7.0,1.5,0.39,115.0,0.17,1
388,9.7,0.047,0.32,0.995,6.7,29.0,3.39,6.0,5.4,0.46,140.0,0.21,1
389,9.3,0.032,0.38,0.9983,7.0,60.0,3.18,7.0,14.9,0.61,181.0,0.3,1
390,9.3,0.032,0.38,0.9983,7.0,60.0,3.18,7.0,14.9,0.61,181.0,0.3,1
391,10.6,0.031,0.32,0.9916,6.5,13.0,3.1,5.0,1.1,0.46,66.0,0.36,1
392,10.2,0.031,0.15,0.9957,6.1,19.0,3.36,6.0,9.8,0.47,125.0,0.55,1
393,12.2,0.021,0.43,0.99,7.3,20.0,3.08,6.0,2.0,0.56,69.0,0.24,1
394,8.8,0.044,0.51,0.9976,6.8,62.0,3.19,5.0,11.8,0.44,163.0,0.37,1
396,11.4,0.031,0.42,0.9917,8.2,30.0,3.09,5.0,1.8,0.39,93.0,0.28,1
397,11.4,0.037,0.4,0.9917,6.3,35.0,3.46,6.0,1.5,0.5,107.0,0.2,1
399,11.7,0.032,0.42,0.9908,6.4,32.0,3.3,6.0,2.9,0.41,83.0,0.19,1
400,11.4,0.037,0.4,0.9917,6.3,35.0,3.46,6.0,1.5,0.5,107.0,0.2,1
401,8.8,0.044,0.51,0.9976,6.8,62.0,3.19,5.0,11.8,0.44,163.0,0.37,1
402,9.2,0.069,0.07,0.9934,6.1,22.0,3.23,5.0,1.4,0.52,108.0,0.35,1
404,12.6,0.035,0.31,0.9918,6.8,33.0,3.24,6.0,6.3,0.66,170.0,0.22,1
406,12.8,0.031,0.34,0.9896,5.8,40.0,3.39,7.0,4.0,0.39,99.0,0.28,1
407,9.4,0.049,0.24,0.9932,6.9,13.0,3.17,5.0,1.2,0.51,125.0,0.49,1
408,10.3,0.044,0.39,0.992,6.3,26.0,3.26,6.0,1.2,0.53,116.0,0.14,1
409,11.4,0.031,0.42,0.9917,8.2,30.0,3.09,5.0,1.8,0.39,93.0,0.28,1
411,9.6,0.04,0.36,0.998,7.3,38.0,3.3,6.0,12.7,0.79,140.0,0.28,1
412,10.5,0.036,0.39,0.9918,7.2,32.0,3.16,5.0,1.2,0.5,85.0,0.19,1
413,10.5,0.036,0.39,0.9918,7.2,32.0,3.16,5.0,1.2,0.5,85.0,0.19,1
415,9.6,0.04,0.36,0.998,7.3,38.0,3.3,6.0,12.7,0.79,140.0,0.28,1
416,9.8,0.041,0.27,0.9927,7.4,27.0,3.19,6.0,1.2,0.33,99.0,0.21,1
417,9.0,0.047,0.22,0.9959,6.8,57.0,3.1,5.0,7.7,0.47,210.0,0.26,1
418,9.8,0.041,0.27,0.9927,7.4,27.0,3.19,6.0,1.2,0.33,99.0,0.21,1
419,10.5,0.05,0.28,0.9929,7.4,33.0,3.31,6.0,1.6,0.56,137.0,0.31,1
420,12.7,0.03,0.31,0.9898,7.0,41.0,3.16,7.0,2.7,0.37,136.0,0.22,1
421,10.4,0.045,0.28,0.9954,7.0,37.0,3.25,6.0,8.7,0.54,222.0,0.21,1
422,10.4,0.045,0.28,0.9954,7.0,37.0,3.25,6.0,8.6,0.54,221.0,0.21,1
423,10.4,0.045,0.28,0.9954,7.0,37.0,3.25,6.0,8.6,0.54,221.0,0.21,1
424,10.5,0.047,0.38,0.9954,6.9,47.0,3.34,7.0,8.3,0.52,162.0,0.23,1
425,10.4,0.045,0.28,0.9954,7.0,37.0,3.25,6.0,8.7,0.54,222.0,0.21,1
426,10.4,0.045,0.28,0.9954,7.0,37.0,3.25,6.0,8.6,0.54,221.0,0.21,1
427,9.4,0.053,0.5,0.9974,6.8,48.0,3.09,5.0,13.3,0.45,194.0,0.29,1
428,9.1,0.051,0.27,0.9936,7.8,20.0,3.06,5.0,1.2,0.46,89.0,0.21,1
429,9.3,0.056,0.47,0.9978,7.1,54.0,3.1,5.0,13.6,0.49,197.0,0.31,1
430,9.4,0.053,0.5,0.9974,6.8,48.0,3.09,5.0,13.3,0.45,194.0,0.29,1
431,9.8,0.048,0.1,0.9927,6.4,19.0,3.21,5.0,1.1,0.38,84.0,0.34,1
432,9.9,0.045,0.34,0.9934,7.4,73.5,3.18,7.0,2.3,0.61,214.0,0.155,1
435,12.2,0.027,0.37,0.992,6.9,24.0,3.38,7.0,6.2,0.49,97.0,0.2,1
436,9.8,0.042,0.32,0.9935,6.1,23.0,3.27,5.0,2.5,0.6,218.5,0.28,1
438,9.9,0.045,0.34,0.9934,7.4,73.5,3.18,7.0,2.3,0.61,214.0,0.155,1
439,9.2,0.06,0.04,0.9934,6.2,23.0,3.26,5.0,1.2,0.54,108.0,0.35,1
440,11.6,0.028,0.37,0.9913,6.7,24.0,3.29,7.0,1.6,0.59,102.0,0.22,1
441,10.4,0.033,0.2,0.9938,6.1,25.0,3.3,6.0,6.6,0.69,137.0,0.38,1
443,9.3,0.048,0.44,0.9975,6.6,54.0,3.26,6.0,12.2,0.54,245.0,0.52,1
446,12.4,0.054,0.27,0.9914,5.8,30.0,3.53,5.0,2.6,0.42,156.0,0.28,1
447,9.8,0.048,0.24,0.9982,6.5,24.0,3.44,6.0,14.0,0.53,113.0,0.41,1
448,9.8,0.048,0.24,0.9982,6.5,24.0,3.44,6.0,14.0,0.53,113.0,0.41,1
449,10.5,0.052,0.29,0.9929,6.4,34.0,3.48,7.0,1.6,0.56,127.0,0.28,1
450,9.1,0.07,0.2,0.9971,7.2,21.0,3.03,5.0,9.9,0.54,174.0,0.6,1
451,10.1,0.038,0.25,0.9921,6.1,34.0,3.24,5.0,1.2,0.44,128.0,0.2,1
452,10.6,0.042,0.14,0.9931,5.9,27.0,3.46,7.0,2.7,0.51,160.0,0.46,1
453,10.5,0.046,0.27,0.9924,6.0,32.0,3.41,7.0,1.6,0.51,113.0,0.27,1
454,10.5,0.052,0.29,0.9929,6.4,34.0,3.48,7.0,1.6,0.56,127.0,0.28,1
455,9.8,0.048,0.24,0.9982,6.4,24.0,3.44,6.0,14.0,0.53,113.0,0.41,1
456,12.9,0.022,0.31,0.9892,6.3,11.0,3.3,7.0,1.5,0.4,82.0,0.23,1
457,9.5,0.056,0.27,0.9956,7.1,26.0,2.95,5.0,8.6,0.52,111.0,0.21,1
458,9.8,0.053,0.32,0.9924,6.0,31.0,3.29,6.0,1.0,0.72,218.5,0.37,1
460,9.5,0.056,0.27,0.9956,7.1,26.0,2.95,5.0,8.6,0.52,111.0,0.21,1
461,9.3,0.047,0.29,0.9982,7.0,40.0,3.22,5.0,15.2,0.45,171.0,0.25,1
462,9.5,0.047,0.19,0.9973,5.9,50.0,3.35,5.0,12.4,0.38,162.0,0.25,1
463,9.4,0.044,0.21,0.9932,6.8,15.0,3.17,6.0,2.2,0.39,68.0,0.32,1
465,8.9,0.081,0.58,0.9962,6.3,34.0,2.95,5.0,10.0,0.46,126.0,0.21,1
466,9.4,0.039,0.32,0.9956,7.0,54.0,3.22,6.0,9.0,0.43,141.0,0.14,1
467,9.4,0.044,0.21,0.9932,6.8,15.0,3.17,6.0,2.2,0.39,68.0,0.32,1
471,10.0,0.036,0.34,0.9937,6.5,34.0,3.14,5.0,3.4,0.76,200.0,0.38,1
472,12.5,0.023,0.29,0.99,6.6,19.0,3.25,6.0,2.0,0.45,86.0,0.24,1
473,9.6,0.034,0.31,0.9944,7.0,34.0,3.36,7.0,4.8,0.48,132.0,0.17,1
474,9.4,0.03,0.22,0.9938,5.5,30.0,3.24,6.0,4.5,0.36,102.0,0.16,1
475,9.5,0.029,0.51,0.9965,7.0,55.0,3.03,5.0,11.0,0.61,227.0,0.24,1
476,12.4,0.028,0.36,0.9893,7.4,42.0,2.99,7.0,1.1,0.39,105.0,0.28,1
477,10.5,0.037,0.28,0.9927,7.0,29.0,3.11,6.0,1.5,0.55,115.0,0.22,1
478,9.2,0.073,0.13,0.994,7.1,21.0,2.97,6.0,1.7,0.58,165.0,0.55,1
479,10.4,0.041,0.33,0.9928,6.3,67.0,3.32,6.0,1.7,0.56,164.0,0.22,1
480,9.2,0.043,0.34,0.9964,6.7,31.0,3.22,5.0,8.9,0.6,172.0,0.47,1
481,10.6,0.047,0.41,0.9917,5.9,45.0,3.33,6.0,1.3,0.51,104.0,0.36,1
482,9.5,0.044,0.24,0.9972,5.8,41.0,3.34,5.0,13.3,0.42,137.0,0.25,1
483,9.2,0.043,0.34,0.9964,6.7,31.0,3.22,5.0,8.9,0.6,172.0,0.47,1
485,9.7,0.028,0.38,0.993,6.2,36.0,3.47,6.0,1.5,0.54,117.0,0.18,1
486,9.7,0.025,0.37,0.9928,6.0,43.0,3.46,6.0,1.5,0.51,117.0,0.16,1
487,10.7,0.035,0.28,0.9916,6.6,32.0,3.1,6.0,1.3,0.42,90.0,0.34,1
488,10.5,0.045,0.29,0.9936,7.4,53.0,3.34,6.0,1.6,0.68,180.0,0.29,1
489,8.9,0.047,0.31,0.9962,7.4,52.0,3.13,6.0,7.6,0.45,177.0,0.26,1
490,12.1,0.035,0.36,0.9899,7.0,8.0,3.09,6.0,1.0,0.46,70.0,0.28,1
491,12.7,0.032,0.39,0.9898,7.1,12.0,3.25,7.0,1.6,0.4,65.0,0.23,1
492,9.9,0.039,0.26,0.996,7.8,42.0,3.18,6.0,8.9,0.46,182.0,0.19,1
493,11.4,0.022,0.28,0.9907,6.3,28.0,3.2,6.0,1.8,0.64,158.0,0.19,1
494,10.7,0.04,0.38,0.994,6.8,27.0,3.37,6.0,4.7,0.58,103.0,0.2,1
495,12.5,0.025,0.13,0.9913,5.7,28.0,3.33,6.0,7.0,0.48,173.0,0.44,1
497,12.5,0.026,0.32,0.9904,6.8,43.0,3.29,6.0,1.6,0.54,147.0,0.23,1
498,10.0,0.04,0.34,0.992,5.7,13.0,3.27,5.0,1.0,0.66,174.0,0.335,1
500,9.5,0.045,0.54,0.999,7.2,54.0,3.08,6.0,16.7,0.49,200.0,0.28,1
501,9.6,0.038,0.58,0.9975,6.8,51.0,3.12,6.0,14.2,0.48,164.0,0.19,1
502,9.9,0.038,0.3,0.9937,6.4,8.0,3.2,6.0,2.25,0.62,210.0,0.3,1
503,9.9,0.037,0.29,0.9937,6.5,8.0,3.19,5.0,2.25,0.62,210.0,0.3,1
504,8.9,0.053,0.31,0.998,7.8,46.0,3.06,6.0,12.2,0.53,140.0,0.18,1
505,8.9,0.053,0.31,0.998,7.8,46.0,3.06,6.0,12.2,0.53,140.0,0.18,1
506,8.8,0.09,0.26,0.9944,7.3,7.0,3.01,5.0,3.3,0.52,135.0,0.51,1
508,12.0,0.039,0.28,0.9907,5.9,55.0,3.44,6.0,3.5,0.44,152.0,0.62,1
510,10.0,0.041,0.12,0.9921,6.7,62.0,3.21,6.0,1.3,0.42,138.0,0.27,1
511,12.1,0.042,0.35,0.9908,7.8,8.0,3.11,6.0,1.8,0.41,167.0,0.34,1
512,11.0,0.04,0.36,0.9931,7.3,31.0,3.16,6.0,5.2,0.59,141.0,0.26,1
513,11.2,0.025,0.33,0.9915,7.4,27.0,3.21,6.0,1.4,0.33,55.0,0.36,1
514,10.3,0.036,0.32,0.9952,7.8,34.0,3.17,7.0,9.0,0.39,115.0,0.28,1
515,10.4,0.051,0.26,0.9926,6.1,28.0,3.37,6.0,2.2,0.47,167.0,0.31,1
516,9.1,0.055,0.37,0.9934,6.8,47.0,3.08,5.0,1.6,0.45,154.0,0.18,1
517,10.4,0.045,0.42,0.992,7.4,49.0,3.0,6.0,1.7,0.6,154.0,0.15,1
518,10.8,0.05,0.28,0.9918,5.9,20.0,3.43,6.0,1.9,0.64,78.0,0.13,1
519,11.7,0.048,0.34,0.9942,7.2,7.0,3.19,5.0,12.6,0.4,41.0,0.34,1
520,9.8,0.039,0.26,0.9942,7.9,8.0,3.05,5.0,2.1,0.74,143.0,0.19,1
521,9.8,0.039,0.26,0.9942,7.9,8.0,3.05,5.0,2.1,0.74,143.0,0.19,1
522,11.4,0.038,0.4,0.9901,6.9,22.0,3.03,6.0,1.3,0.39,101.0,0.25,1
523,11.2,0.033,0.32,0.9898,5.8,22.0,3.03,6.0,1.7,0.38,96.0,0.36,1
524,11.4,0.038,0.37,0.9902,5.6,6.0,3.37,5.0,1.0,0.34,72.0,0.35,1
526,12.5,0.04,0.46,0.9906,7.2,3.0,3.04,4.0,5.0,0.53,29.0,0.31,1
527,12.6,0.034,0.22,0.9898,6.1,32.0,3.36,6.0,1.8,0.44,116.0,0.28,1
529,11.2,0.03,0.47,0.9922,5.6,19.0,3.56,6.0,4.5,0.45,112.0,0.19,1
530,9.7,0.048,0.35,0.9947,6.4,31.0,3.43,6.0,4.9,0.79,103.0,0.1,1
532,9.0,0.067,0.36,0.9976,7.4,53.0,3.01,6.0,13.2,0.48,178.0,0.25,1
533,9.0,0.067,0.36,0.9976,7.4,53.0,3.01,6.0,13.2,0.48,178.0,0.25,1
534,9.0,0.067,0.36,0.9976,7.4,53.0,3.01,6.0,13.2,0.48,178.0,0.25,1
535,9.1,0.047,0.51,0.9987,7.9,54.0,3.09,5.0,15.3,0.51,171.0,0.345,1
536,9.1,0.047,0.51,0.9987,7.9,54.0,3.09,5.0,15.3,0.51,171.0,0.345,1
537,9.0,0.067,0.36,0.9976,7.4,53.0,3.01,6.0,13.2,0.48,178.0,0.25,1
538,10.4,0.045,0.3,0.992,6.1,22.0,3.31,5.0,1.5,0.54,61.0,0.24,1
539,9.5,0.053,0.24,0.9955,6.8,41.0,3.37,6.0,4.55,0.67,211.0,0.25,1
540,11.4,0.04,0.31,0.9953,6.7,10.0,3.46,4.0,9.9,0.55,175.0,0.31,1
542,9.9,0.045,0.35,0.992,5.5,14.0,3.34,6.0,1.1,0.68,167.0,0.35,1
543,9.9,0.036,0.41,0.9952,6.7,29.0,3.22,6.0,8.7,0.62,148.0,0.24,1
544,9.0,0.047,0.17,0.9983,6.8,49.0,3.21,6.0,13.9,0.51,162.0,0.28,1
545,10.0,0.04,0.22,0.9933,6.4,41.0,3.49,6.0,1.4,0.58,149.0,0.16,1
546,9.7,0.039,0.24,0.9958,6.3,38.0,3.49,6.0,7.2,0.64,172.0,0.26,1
547,11.8,0.052,0.42,0.9922,7.7,10.0,3.3,6.0,1.9,0.49,87.0,0.22,1
548,10.2,0.044,0.31,0.9928,6.5,30.0,3.49,7.0,1.7,0.5,127.0,0.18,1
550,9.6,0.05,0.51,0.9976,7.0,40.0,3.07,7.0,13.6,0.52,168.0,0.3,1
551,11.3,0.026,0.34,0.9916,9.2,31.0,2.93,7.0,1.2,0.37,93.0,0.25,1
552,12.1,0.028,0.34,0.9901,7.8,32.0,3.0,7.0,1.6,0.38,118.0,0.28,1
553,9.6,0.05,0.51,0.9976,7.0,40.0,3.07,7.0,13.6,0.52,168.0,0.3,1
554,12.1,0.028,0.34,0.9901,7.8,32.0,3.0,7.0,1.6,0.38,118.0,0.28,1
555,11.3,0.026,0.34,0.9916,9.2,31.0,2.93,7.0,1.2,0.37,93.0,0.25,1
557,10.4,0.049,0.24,0.993,6.1,16.0,3.32,6.0,1.6,0.5,137.0,0.41,1
558,9.5,0.044,0.24,0.9969,5.9,53.0,3.25,5.0,12.1,0.39,165.0,0.21,1
559,12.3,0.047,0.44,0.991,7.2,51.0,3.01,6.0,4.2,0.76,144.0,0.34,1
560,9.9,0.049,0.42,0.9953,6.7,31.0,3.12,7.0,9.1,0.74,150.0,0.21,1
561,10.1,0.057,0.1,0.9924,5.9,39.0,3.24,5.0,1.6,0.48,128.0,0.37,1
562,9.2,0.063,0.27,0.9969,7.7,39.0,3.09,6.0,8.8,0.63,184.0,0.34,1
563,10.4,0.046,0.22,0.9928,7.4,16.0,3.08,7.0,1.4,0.77,135.0,0.3,1
564,9.1,0.066,0.3,0.9945,6.8,38.0,3.2,5.0,4.2,0.42,165.0,0.51,1
565,10.0,0.059,0.38,0.9967,7.8,28.0,3.12,6.0,10.3,0.47,99.0,0.22,1
566,11.5,0.051,0.34,0.9944,7.2,6.0,3.13,6.0,12.4,0.39,37.0,0.35,1
567,9.8,0.048,0.5,0.9928,6.0,59.0,3.08,5.0,2.2,0.61,153.0,0.26,1
568,9.8,0.05,0.51,0.9929,6.1,61.0,3.08,6.0,2.2,0.6,154.0,0.26,1
569,9.4,0.04,0.27,0.9948,6.5,44.0,3.19,6.0,5.2,0.69,179.0,0.28,1
571,11.6,0.038,0.29,0.9912,6.5,26.0,3.32,7.0,2.7,0.41,107.0,0.28,1
572,8.8,0.047,0.54,0.9987,6.7,44.0,3.04,5.0,16.3,0.56,181.0,0.34,1
573,12.7,0.032,0.34,0.99,7.2,49.0,3.16,7.0,2.7,0.39,151.0,0.2,1
574,11.7,0.035,0.33,0.991,7.4,39.0,3.17,7.0,1.9,0.44,138.0,0.2,1
575,10.2,0.047,0.3,0.9933,8.2,47.0,3.13,6.0,1.8,0.5,185.0,0.22,1
576,10.2,0.047,0.29,0.9933,8.2,47.0,3.13,6.0,1.8,0.5,187.0,0.23,1
577,12.7,0.033,0.33,0.9899,7.1,48.0,3.15,7.0,2.8,0.38,153.0,0.22,1
578,11.6,0.038,0.29,0.9912,6.5,26.0,3.32,7.0,2.7,0.41,107.0,0.28,1
579,12.3,0.034,0.26,0.9912,6.0,42.0,3.38,7.0,6.0,0.38,134.0,0.38,1
581,9.4,0.042,0.22,0.994,5.7,25.0,3.35,5.0,4.2,0.39,111.0,0.18,1
582,10.1,0.056,0.22,0.9947,7.3,44.0,3.13,6.0,6.4,0.35,168.0,0.3,1
583,9.7,0.042,0.22,0.9954,7.4,26.0,2.86,6.0,10.7,0.36,81.0,0.24,1
584,10.1,0.046,0.3,0.993,6.6,32.0,3.42,7.0,1.6,0.51,134.0,0.25,1
585,9.7,0.042,0.22,0.9954,7.4,26.0,2.86,6.0,10.7,0.36,81.0,0.24,1
586,8.9,0.049,0.3,0.9963,7.4,38.0,3.13,6.0,7.9,0.48,157.0,0.26,1
587,10.8,0.034,0.25,0.992,6.1,37.0,3.47,7.0,1.7,0.5,136.0,0.32,1
588,10.8,0.036,0.27,0.9926,6.9,42.0,3.42,7.0,2.1,0.49,121.0,0.28,1
589,9.5,0.04,0.33,0.995,7.0,25.0,3.19,6.0,5.8,0.58,136.0,0.23,1
590,9.1,0.059,0.5,0.9983,7.1,6.0,2.94,5.0,14.5,0.44,148.0,0.31,1
591,10.9,0.037,0.37,0.992,7.3,48.0,3.32,6.0,1.2,0.49,119.0,0.2,1
592,9.4,0.043,0.33,0.9968,6.9,28.0,3.2,5.0,10.1,0.52,152.0,0.41,1
593,10.8,0.03,0.07,0.9905,6.4,10.0,2.97,5.0,1.1,0.28,131.0,0.45,1
594,10.8,0.03,0.06,0.9904,6.4,9.0,2.97,5.0,1.0,0.29,131.0,0.475,1
595,10.5,0.051,0.38,0.9926,6.3,7.0,3.45,7.0,0.9,0.5,140.0,0.27,1
596,9.4,0.043,0.33,0.9968,6.9,28.0,3.2,5.0,10.1,0.52,152.0,0.41,1
597,10.8,0.034,0.37,0.9928,7.0,26.0,3.17,6.0,4.9,0.44,127.0,0.29,1
599,11.5,0.036,0.4,0.9909,6.9,14.0,3.08,7.0,1.4,0.68,55.0,0.19,1
601,10.8,0.045,0.4,0.9914,7.2,31.0,2.88,6.0,1.4,0.38,106.0,0.24,1
602,10.8,0.03,0.07,0.9905,6.4,10.0,2.97,5.0,1.1,0.28,131.0,0.45,1
603,10.8,0.03,0.06,0.9904,6.4,9.0,2.97,5.0,1.0,0.29,131.0,0.475,1
604,9.8,0.052,0.49,0.9924,6.3,34.0,2.99,6.0,1.5,0.61,134.0,0.26,1
605,9.8,0.052,0.49,0.9924,6.3,34.0,2.99,6.0,1.5,0.61,134.0,0.26,1
606,9.6,0.049,0.29,0.9965,7.3,38.0,3.43,5.0,7.5,0.38,158.0,0.25,1
607,9.6,0.049,0.29,0.9965,7.3,38.0,3.43,5.0,7.5,0.38,158.0,0.25,1
609,10.7,0.061,0.35,0.9965,7.4,12.0,3.48,6.0,5.7,0.69,94.0,0.37,1
611,11.1,0.032,0.4,0.992,7.4,9.0,3.09,6.0,4.3,0.39,95.0,0.24,1
616,11.7,0.037,0.33,0.9912,7.8,18.0,3.21,7.0,2.4,0.65,101.0,0.32,1
